# {"t_start": 1618171197.100356, "env_id": "PandaPickAndPlace-v0"} 
r,l,t
-50.0,50,1731.176553
-50.0,50,1736.309133
-50.0,50,1742.407579
-50.0,50,1748.276321
-50.0,50,1754.33867
-28.0,50,1760.482445
-50.0,50,1765.890575
-50.0,50,1771.654681
-50.0,50,1777.112778
-50.0,50,1783.186468
-50.0,50,1788.699857
-36.0,50,1794.315345
-50.0,50,1799.637315
-50.0,50,1805.077574
-50.0,50,1810.55332
-50.0,50,1816.055888
-50.0,50,1821.472131
-50.0,50,1826.866394
-50.0,50,1832.224095
-50.0,50,1837.870119
-50.0,50,1843.379972
-50.0,50,1848.796333
-25.0,50,1853.852067
-44.0,50,1858.838051
-50.0,50,1864.163142
-50.0,50,1869.343303
-50.0,50,1874.957017
-50.0,50,1880.263019
-50.0,50,1885.542817
-50.0,50,1891.106023
-50.0,50,1896.19304
-50.0,50,1901.872271
-50.0,50,1907.072058
-50.0,50,1912.213938
-50.0,50,1917.645072
-50.0,50,1922.915003
-50.0,50,1928.339958
-49.0,50,1933.997787
-50.0,50,1939.591478
-50.0,50,1944.725307
-50.0,50,1949.870172
-46.0,50,1955.349113
0.0,50,1960.836789
-50.0,50,1966.894588
-50.0,50,1972.231174
-50.0,50,1977.813391
-50.0,50,1983.146886
-44.0,50,1983.683817
-50.0,50,1984.332328
-50.0,50,1984.781104
-50.0,50,1985.221761
-50.0,50,1985.708766
-50.0,50,1986.169444
-50.0,50,1986.619775
-50.0,50,1987.091237
-50.0,50,1987.638674
-50.0,50,1988.278367
-50.0,50,1993.860347
-50.0,50,1999.235298
-50.0,50,2004.64016
-22.0,50,2010.101683
-50.0,50,2015.415553
-8.0,50,2020.337
-50.0,50,2025.883029
-50.0,50,2031.096844
-50.0,50,2036.341878
-50.0,50,2041.509273
-50.0,50,2046.632735
-50.0,50,2052.117158
-50.0,50,2057.660287
-50.0,50,2062.641832
-36.0,50,2068.34633
-50.0,50,2076.641301
-50.0,50,2081.33775
-50.0,50,2085.864616
-50.0,50,2090.206532
-50.0,50,2094.498315
-50.0,50,2098.849176
-50.0,50,2102.584711
-50.0,50,2106.936615
-50.0,50,2111.238068
-50.0,50,2115.750584
-16.0,50,2121.209491
-15.0,50,2126.236445
-50.0,50,2130.778155
-50.0,50,2134.866359
-50.0,50,2139.196614
-50.0,50,2143.455032
-50.0,50,2147.834394
-50.0,50,2152.166248
-50.0,50,2156.729371
-50.0,50,2161.120414
-50.0,50,2165.435498
-50.0,50,2169.982236
-50.0,50,2174.880407
-50.0,50,2179.259498
-49.0,50,2184.063396
-50.0,50,2188.651581
-50.0,50,2192.99612
-50.0,50,2197.390922
-50.0,50,2201.728
-50.0,50,2206.177184
-50.0,50,2210.62933
-50.0,50,2214.782008
-50.0,50,2219.149363
-50.0,50,2223.552297
-50.0,50,2228.217005
-50.0,50,2228.616501
-50.0,50,2229.040492
-50.0,50,2229.419793
-50.0,50,2229.935466
-50.0,50,2230.395111
-50.0,50,2230.913903
-50.0,50,2231.32305
-50.0,50,2231.92186
-50.0,50,2232.274462
-50.0,50,2232.716933
-50.0,50,2236.945752
-6.0,50,2241.377481
-50.0,50,2245.769353
-50.0,50,2250.273857
-50.0,50,2254.998121
-50.0,50,2261.067827
-50.0,50,2267.0552
-50.0,50,2272.697562
-50.0,50,2278.443049
-50.0,50,2284.155533
-50.0,50,2289.900183
-50.0,50,2295.788704
-50.0,50,2301.736325
-50.0,50,2307.44956
-50.0,50,2313.460186
-50.0,50,2319.167702
-50.0,50,2325.363557
-50.0,50,2330.175473
-50.0,50,2334.954433
-50.0,50,2339.741907
-50.0,50,2344.394427
-50.0,50,2348.539672
-50.0,50,2353.124898
-10.0,50,2356.946928
-50.0,50,2361.526619
-50.0,50,2366.314631
0.0,50,2370.683304
-50.0,50,2375.233756
-50.0,50,2379.670149
-50.0,50,2383.76623
-50.0,50,2388.014771
-50.0,50,2392.420593
-50.0,50,2396.782366
-50.0,50,2401.063986
-50.0,50,2405.257161
-50.0,50,2409.431769
-50.0,50,2413.465273
-47.0,50,2417.713205
-50.0,50,2421.65916
-50.0,50,2426.00486
-50.0,50,2430.074346
-50.0,50,2434.18387
-50.0,50,2437.989962
-50.0,50,2442.172754
-50.0,50,2446.294386
-50.0,50,2450.491532
-50.0,50,2454.822037
-50.0,50,2459.457474
-50.0,50,2465.614189
-50.0,50,2471.283483
-50.0,50,2471.8202
-50.0,50,2472.269947
-50.0,50,2472.771749
-50.0,50,2473.487974
-50.0,50,2473.955554
-50.0,50,2474.511097
-50.0,50,2475.175826
-41.0,50,2475.729935
-50.0,50,2476.146657
-50.0,50,2477.06194
-50.0,50,2482.844919
-50.0,50,2488.594059
-50.0,50,2493.886891
-50.0,50,2499.825689
-50.0,50,2505.950187
-50.0,50,2511.692008
-50.0,50,2517.296077
-50.0,50,2522.711769
-50.0,50,2528.479834
-50.0,50,2533.949741
-50.0,50,2539.335826
-50.0,50,2545.337734
-50.0,50,2552.445142
-24.0,50,2559.397677
-50.0,50,2567.850422
-50.0,50,2576.076378
-50.0,50,2583.244486
-50.0,50,2590.059885
-50.0,50,2597.452094
-50.0,50,2605.591108
-50.0,50,2612.718406
-50.0,50,2619.641396
-49.0,50,2626.568864
-50.0,50,2632.500988
-50.0,50,2638.748113
-50.0,50,2644.628616
-50.0,50,2651.314703
-10.0,50,2656.644332
-50.0,50,2661.449809
-50.0,50,2666.069452
-50.0,50,2670.62785
-50.0,50,2674.812742
-50.0,50,2679.398184
-50.0,50,2683.749479
-50.0,50,2688.028222
-50.0,50,2692.369486
-50.0,50,2696.871164
-50.0,50,2701.359653
-34.0,50,2705.665533
-50.0,50,2709.997826
-50.0,50,2714.584517
-50.0,50,2718.909693
-50.0,50,2723.179081
-50.0,50,2727.440162
